,US_UK_Forex_Rate
2000-01-01,1.6055
2000-04-01,1.532
2000-07-01,1.4773
2000-10-01,1.4462
2001-01-01,1.4581
2001-04-01,1.4212
2001-07-01,1.4373
2001-10-01,1.4426
2002-01-01,1.4261
2002-04-01,1.4615
2002-07-01,1.5497
2002-10-01,1.5714
2003-01-01,1.6025
2003-04-01,1.6183
2003-07-01,1.6107
2003-10-01,1.7079
2004-01-01,1.8385
2004-04-01,1.8063
2004-07-01,1.8193
2004-10-01,1.8687
2005-01-01,1.8911
2005-04-01,1.856
2005-07-01,1.7847
2005-10-01,1.7486
2006-01-01,1.7532
2006-04-01,1.8286
2006-07-01,1.8751
2006-10-01,1.9166
2007-01-01,1.9548
2007-04-01,1.9862
2007-07-01,2.0213
2007-10-01,2.0442
2008-01-01,1.979
2008-04-01,1.9712
2008-07-01,1.8924
2008-10-01,1.5704
2009-01-01,1.4344
2009-04-01,1.5502
2009-07-01,1.641
2009-10-01,1.6335
2010-01-01,1.5575
2010-04-01,1.4931
2010-07-01,1.5521
2010-10-01,1.5804
2011-01-01,1.6027
2011-04-01,1.6309
2011-07-01,1.6102
2011-10-01,1.5718
2012-01-01,1.5721
2012-04-01,1.5828
2012-07-01,1.5801
2012-10-01,1.6065
2013-01-01,1.5508
2013-04-01,1.5363
2013-07-01,1.5512
2013-10-01,1.6195
2014-01-01,1.6551
2014-04-01,1.6832
2014-07-01,1.6691
2014-10-01,1.5837
2015-01-01,1.5134
2015-04-01,1.5329
2015-07-01,1.5493
2015-10-01,1.5169
2016-01-01,1.4306
2016-04-01,1.4344
2016-07-01,1.3124
2016-10-01,1.2416
2017-01-01,1.2399
2017-04-01,1.2798
2017-07-01,1.3089
2017-10-01,1.3273
2018-01-01,1.392
2018-04-01,1.3612
2018-07-01,1.303
2018-10-01,1.287
2019-01-01,
